Ort;Zusatz;Plz;Vorwahl;Bundesland
Grethem;;29690;5164;Niedersachsen
Grettstadt;;97508;9729;Bayern
Greußen;;99718;3636;Thüringen
Greußenheim;;97259;9369;Bayern
Greven;b Boizenburg;19258;38842;Mecklenburg-Vorpommern
Greven;, Westf;48268;2571;Nordrhein-Westfalen
Grevenbroich;;41515;2181;Nordrhein-Westfalen
Grevenbroich;;41516;2181;Nordrhein-Westfalen
Grevenbroich;;41517;2181;Nordrhein-Westfalen
Grevenkop;;25361;4824;Schlewig-Holstein
Grevenkrug;;24241;4322;Schlewig-Holstein
Grevenstein;b Grevesmühlen;23936;38824;Mecklenburg-Vorpommern
Grevesmühlen;;23936;3881;Mecklenburg-Vorpommern
Gribbohm;;25596;4827;Schlewig-Holstein
Gribow;;17506;38355;Mecklenburg-Vorpommern
Griebelschied;;55608;6752;Rheinland-Pfalz
Grieben;b Gransee;16775;33086;Brandenburg
Grieben;, Hiddensee;18565;38300;Mecklenburg-Vorpommern
Grieben;b Grevesmühlen;23936;38828;Mecklenburg-Vorpommern
Grieben;b Tangerhütte;39517;39362;Sachsen-Anhalt
Griebo;;6869;34903;Sachsen-Anhalt
Griefstedt;;99638;36375;Thüringen
Gries;, Pfalz;66903;6373;Rheinland-Pfalz
Griesen;, Sachs-Anh;6786;34905;Sachsen-Anhalt
Griesheim;, Hess;64347;6155;Hessen
Griesheim;, Hess;64347;6155;Hessen
Griesheim;b Arnstadt;99326;3629;Thüringen
Griesingen;;89608;7391;Baden-Württemberg
Grießbach;;9435;3725;Sachsen
Grießen;, NL;3172;35696;Brandenburg
Griesstätt;b Wasserburg a Inn;83556;8039;Bayern
Griesstätt;b Großhelfendorf;85655;8095;Bayern
Grillenberg;b Sangerhausen;6528;3464;Sachsen-Anhalt
Grimburg;;54413;6589;Rheinland-Pfalz
Grimma;;4668;3437;Sachsen
Grimme;b Zerbst;39264;39248;Sachsen-Anhalt
Grimmelsberg;, Gem Kirchnüchel;24327;4381;Schlewig-Holstein
Grimmelshausen;;98660;36873;Thüringen
Grimmen;;18507;38326;Mecklenburg-Vorpommern
Grinau;;23847;4501;Schlewig-Holstein
Grischow;b Altentreptow;17089;3969;Mecklenburg-Vorpommern
Gröben;b Weißenfels;6682;34443;Sachsen-Anhalt
Gröben;b Ludwigsfelde;14974;3378;Brandenburg
Gröben;, Gem Amerang;83119;8075;Bayern
Grobengereuth;;7389;36484;Thüringen
Gröbenzell;;82194;8142;Bayern
Gröbern;b Bitterfeld;6773;34955;Sachsen-Anhalt
Gröbers;;6184;34605;Sachsen-Anhalt
Gröbitz;, NL;3238;3531;Brandenburg
Gröbitz;b Weißenfels;6667;34445;Sachsen-Anhalt
Grobleben;;39579;39322;Sachsen-Anhalt
Gröbzig;;6388;34976;Sachsen-Anhalt
Grockstädt;;6268;34461;Sachsen-Anhalt
Gröde;, Hallig;25869;4674;Schlewig-Holstein
Gröden;;4932;35343;Brandenburg
Grödersby;;24376;4642;Schlewig-Holstein
Gröditsch;;15910;35471;Brandenburg
Gröditz;b Riesa;1609;35263;Sachsen
Groitzsch;b Pegau;4539;34296;Sachsen
Grollenhof;;74196;;Baden-Württemberg
Grolsheim;;55459;6727;Rheinland-Pfalz
Grömbach;;72294;7453;Baden-Württemberg
Grömitz;;23743;4562;Schlewig-Holstein
Gröna;;6408;3471;Sachsen-Anhalt
Gronau;(Leine);31028;5182;Niedersachsen
Gronau;(Westf.);48599;2562;Nordrhein-Westfalen
Grönheim;, Gem Molbergen;49696;4479;Niedersachsen
Gröningen;b Oschersleben;39397;39403;Sachsen-Anhalt
Grönwohld;, Kr Stormarn;22956;4154;Schlewig-Holstein
Groptitz;;1594;3525;Sachsen
Groß Ammensleben;;39326;39202;Sachsen-Anhalt
Groß Behnitz;;14641;33239;Brandenburg
Groß Belitz;;18246;38466;Mecklenburg-Vorpommern
Groß Bengerstorf;;19258;38843;Mecklenburg-Vorpommern
Groß Berßen;;49777;5965;Niedersachsen
Groß Beuchow;;3222;3542;Brandenburg
Groß Boden;;23847;4539;Schlewig-Holstein
Groß Bölkow;;18239;38207;Mecklenburg-Vorpommern
Groß Börnecke;;39435;39267;Sachsen-Anhalt
Groß Breese;b Wittenberge, Prignitz;19322;3877;Brandenburg
Groß Briesen;b Belzig;14806;33846;Brandenburg
Groß Brütz;;19071;38874;Mecklenburg-Vorpommern
Groß Buchholz;;19348;3876;Brandenburg
Groß Buchwald;;24582;4322;Schlewig-Holstein
Groß Bünsdorf;;23923;38828;Mecklenburg-Vorpommern
Groß Chüden;;29416;3901;Sachsen-Anhalt
Groß Daberkow;;17348;3967;Mecklenburg-Vorpommern
Groß Disnack;;23911;4544;Schlewig-Holstein
Groß Döbbern;;3058;35608;Brandenburg
Groß Dölln;;17268;39883;Brandenburg
Groß Dratow;;17192;39934;Mecklenburg-Vorpommern
Groß Düben;;2959;35773;Sachsen
Groß Eichholz;;15859;33760;Brandenburg
Groß Eichsen;;19205;38871;Mecklenburg-Vorpommern
Groß Ernsthof;;17440;3836;Mecklenburg-Vorpommern
Groß Flotow;;17219;39928;Mecklenburg-Vorpommern
Groß Fredenwalde;;17268;39887;Brandenburg
Groß Gaglow;;3058;355;Brandenburg
Groß Garz;;39615;39398;Sachsen-Anhalt
Groß Germersleben;;39398;39408;Sachsen-Anhalt
Groß Gievitz;;17192;39934;Mecklenburg-Vorpommern
Groß Glienicke;;14476;33201;Brandenburg
Groß Godems;;19372;38725;Mecklenburg-Vorpommern
Groß Görnow;;19406;3847;Mecklenburg-Vorpommern
Groß Gottschow;;19348;38784;Brandenburg
Groß Grönau;;23627;4509;Schlewig-Holstein
Groß Haßlow;;16909;3394;Brandenburg
Groß Hauskreuz;;26441;;Niedersachsen
Groß Hundorf;;19217;38872;Mecklenburg-Vorpommern
Groß Ippener;;27243;4224;Niedersachsen
Groß Jehser;;3205;35439;Brandenburg
Groß Kelle;;17207;39931;Mecklenburg-Vorpommern
Groß Kienitz;;15831;33708;Brandenburg
Groß Kiesow;;17495;38353;Mecklenburg-Vorpommern
Groß Kölpin;;17268;39886;Brandenburg
Groß Kölzig;;3159;35600;Brandenburg
Groß Kordshagen;;18442;38231;Mecklenburg-Vorpommern
Groß Köris;;15746;33766;Brandenburg
Groß Krams;;19230;38854;Mecklenburg-Vorpommern
Groß Krankow;;23966;3841;Mecklenburg-Vorpommern
Groß Kreutz;;14550;33207;Brandenburg
Groß Kühren;;19273;38841;Niedersachsen
Groß Kummerfeld;;24626;4393;Schlewig-Holstein
Groß Laasch;;19288;3874;Mecklenburg-Vorpommern
Groß Labenz;;19417;38482;Mecklenburg-Vorpommern
Groß Langerwisch;;16928;3395;Brandenburg
Groß Leine;;15913;3546;Brandenburg
Groß Leppin;;19339;38787;Brandenburg
Groß Leuthen;;15913;35471;Brandenburg
Groß Linde;;19348;3876;Brandenburg
Groß Lindow;;15295;33609;Brandenburg
Groß Lübbenau;;3226;3542;Brandenburg
Groß Lüben;;19336;38791;Brandenburg
Groß Luckow;;17337;39752;Mecklenburg-Vorpommern
Groß Luja;;3130;3563;Brandenburg
Groß Lüsewitz;;18190;38209;Mecklenburg-Vorpommern
Groß Machnow;;15806;3377;Brandenburg
Groß Marzehns;;14823;33848;Brandenburg
Groß Meckelsen;;27419;4282;Niedersachsen
Groß Miltzow;b Oertzenhof, Meckl;17349;3967;Mecklenburg-Vorpommern
Groß Mohrdorf;;18445;38323;Mecklenburg-Vorpommern
Groß Molzahn;;19217;38875;Mecklenburg-Vorpommern
Groß Muckrow;;15868;33673;Brandenburg
Groß Naundorf;b Annaburg;6925;35385;Sachsen-Anhalt
Groß Nemerow;;17094;39605;Mecklenburg-Vorpommern
Groß Neuendorf;, Oderbruch;15324;33478;Brandenburg
Groß Neuleben;;23923;38821;Mecklenburg-Vorpommern
Groß Nieköhr;;17179;39971;Mecklenburg-Vorpommern
Groß Niendorf;b Parchim;19374;385;Mecklenburg-Vorpommern
Groß Niendorf;, Holst;23816;4552;Schlewig-Holstein
Groß Nienhagen;;18239;38295;Mecklenburg-Vorpommern
Groß Nordende;;25436;4122;Schlewig-Holstein
Groß Oesingen;;29393;5838;Niedersachsen
Groß Offenseth-Aspern;;25355;4123;Schlewig-Holstein
Groß Oßnig;;3058;35608;Brandenburg
Groß Pampau;;21493;4151;Schlewig-Holstein
Groß Pankow;b Pritzwalk;16928;33983;Brandenburg
Groß Pinnow;;16306;33331;Brandenburg
Groß Plasten;;17192;39934;Mecklenburg-Vorpommern
Groß Polzin;;17390;39724;Mecklenburg-Vorpommern
Groß Pravtshagen;;23936;3881;Mecklenburg-Vorpommern
Groß Quenstedt;;38822;39424;Sachsen-Anhalt
Groß Raden;;19406;3847;Mecklenburg-Vorpommern
Groß Rheide;;24872;4627;Schlewig-Holstein
Groß Ridsenow;;18299;38459;Mecklenburg-Vorpommern
Groß Rietz;;15848;33672;Brandenburg
Groß Rode;, Forsthaus;38154;5332;Niedersachsen
Groß Rodensleben;;39167;39293;Sachsen-Anhalt
Groß Roge;;17166;39978;Mecklenburg-Vorpommern
Groß Rönnau;;23795;4551;Schlewig-Holstein
Groß Rosenburg;;39240;39294;Sachsen-Anhalt
Groß Rünz;;19217;38873;Mecklenburg-Vorpommern
Groß Salitz;;19205;38876;Mecklenburg-Vorpommern
Groß Santersleben;;39343;391;Sachsen-Anhalt
Groß Sarau;;23627;4509;Schlewig-Holstein
Groß Schacksdorf;;3149;35695;Brandenburg
Groß Schauen;;15859;33678;Brandenburg
Groß Schenkenberg;;23860;4508;Schlewig-Holstein
Groß Schierstedt;;6449;3473;Sachsen-Anhalt
Groß Schönebeck;(Schorfheide);16348;33393;Brandenburg
Groß Schoritz;;18574;3838;Mecklenburg-Vorpommern
Groß Schulzendorf;;15806;3378;Brandenburg
Groß Schwansee;;23942;38827;Mecklenburg-Vorpommern
Groß Schwechten;;39579;39328;Sachsen-Anhalt
Groß Schwiesow;;18276;3843;Mecklenburg-Vorpommern
Groß Siemen;;18236;38292;Mecklenburg-Vorpommern
Groß Siemz;;23923;38828;Mecklenburg-Vorpommern
Groß Spiegelberg;;17337;39752;Mecklenburg-Vorpommern
Groß Stieten;;23972;3841;Mecklenburg-Vorpommern
Groß Teetzleben;;17091;3961;Mecklenburg-Vorpommern
Groß Tessin;b Wismar, Meckl;23992;38429;Mecklenburg-Vorpommern
Groß Thurow;;19205;38876;Mecklenburg-Vorpommern
Groß Timkenberg;;19273;38844;Mecklenburg-Vorpommern
Groß Twülpstedt;;38464;5365;Niedersachsen
Groß Vielen;;17217;39921;Mecklenburg-Vorpommern
Groß Vollstedt;;24802;4305;Schlewig-Holstein
Groß Walmstorf;;23948;38428;Mecklenburg-Vorpommern
Groß Warnow;;19357;38788;Brandenburg
Groß Wasserburg;;15910;35473;Brandenburg
Groß Welle;;16866;33977;Brandenburg
Groß Welzin;;19209;38874;Mecklenburg-Vorpommern
Groß Werzin;;19336;38796;Brandenburg
Groß Wieblitz;;29413;39033;Sachsen-Anhalt
Groß Wittensee;;24361;4356;Schlewig-Holstein
Groß Woltersdorf;, Prignitz;16928;3395;Brandenburg
Groß Wüstenfelde;;17168;39975;Mecklenburg-Vorpommern
Groß Ziescht;;15837;33704;Brandenburg
Großaitingen;;86845;8203;Bayern
Großalmerode;;37247;5604;Hessen
Großalsleben;;39387;3949;Sachsen-Anhalt
Großbadegast;;6369;3496;Sachsen-Anhalt
Großbardau;;4668;3437;Sachsen
Großbardorf;;97633;9766;Bayern
Großbarkau;;24245;4302;Schlewig-Holstein
Großbartloff;;37359;36027;Thüringen
Großbeeren;;14979;33701;Brandenburg
Großberndten;;99713;36330;Thüringen
Großbettlingen;;72663;7022;Baden-Württemberg
Großbeuthen;;14974;33731;Brandenburg
Groß-Bieberau;;64401;6162;Hessen
Großbockedra;;7646;36428;Thüringen
Großbodungen;;37345;36077;Thüringen
Großbothen;;4668;34384;Sachsen
Großbottwar;;71723;7148;Baden-Württemberg
Großbreitenbach;;98701;36781;Thüringen
Großbrembach;;99610;36451;Thüringen
Großbrüchter;;99713;36330;Thüringen
Großbundenbach;;66501;6337;Rheinland-Pfalz
Großburschla;, Thür;99830;5655;Thüringen
Großderschau;;16845;33875;Brandenburg
Großdittmannsdorf;;1471;35208;Sachsen
Großdubrau;;2694;35934;Sachsen
Großebersdorf;;7589;36607;Thüringen
Großefehn;;26629;4943;Niedersachsen
Großeibstadt;;97633;9761;Bayern
Grosselfingen;b Hechingen;72415;7476;Baden-Württemberg
Großenaspe;;24623;4327;Schlewig-Holstein
Großenbrode;;23775;4367;Schlewig-Holstein
Großenehrich;;99718;36370;Thüringen
Großengottern;;99991;36022;Thüringen
Großenhain;, Sachs;1558;3522;Sachsen
Großenhof;;23948;3881;Mecklenburg-Vorpommern
Großenkneten;;26197;4435;Niedersachsen
Großen-Luckow;;17166;39933;Mecklenburg-Vorpommern
Großenlüder;;36137;6648;Hessen
Großenlupnitz;;99819;36920;Thüringen
Großenrade;;25712;4825;Schlewig-Holstein
Großensee;, Kr Stormarn;22946;4154;Schlewig-Holstein
Großensee;b Eisenach, Thür;99837;36922;Thüringen
Großenseebach;;91091;9135;Bayern
Großenstein;;7580;36602;Thüringen
Großenwiehe;;24969;4604;Schlewig-Holstein
Großenwörden;;21712;4775;Niedersachsen
Großerkmannsdorf;;1454;3528;Sachsen
Großerlach;;71577;7903;Baden-Württemberg
Großeutersdorf;;7768;36424;Thüringen
Großfahner;;99100;36206;Thüringen
Großfischlingen;;67483;6323;Rheinland-Pfalz
Großfriesen;;8541;3741;Sachsen
Großfriesen;;8541;3741;Sachsen
Groß-Gerau;;64521;6152;Hessen
Großgeschwenda;;7338;36735;Thüringen
Großgörschen;;6686;34444;Sachsen-Anhalt
Großgrimma;;6679;34441;Sachsen-Anhalt
Großhabersdorf;;90613;9105;Bayern
Großhansdorf;;22927;4102;Schlewig-Holstein
Großharrie;;24625;4394;Schlewig-Holstein
Großharthau;;1909;35954;Sachsen
Großharthau-Bühlau;;1909;35954;Sachsen
Großharthau-Schmiedefeld;;1909;35954;Sachsen
Großharthau-Seeligstadt;;1909;35200;Sachsen
Großhartmannsdorf;;9618;37329;Sachsen
Großheide;, Ostfriesl;26532;4936;Niedersachsen
Großheirath;;96269;9565;Bayern
Großhelfendorf;;85655;8095;Bayern
Großhennersdorf;;2747;35873;Sachsen
Großheringen;;99518;36461;Thüringen
Großhesselohe;, Isartal;82049;89;Bayern
Großheubach;;63920;9371;Bayern
Großholbach;;56412;2602;Rheinland-Pfalz
Großhub;;83739;8064;Bayern
Großkampenberg;;54619;6559;Rheinland-Pfalz
Großkarlbach;;67229;6238;Rheinland-Pfalz
Großkarolinenfeld;;83109;8031;Bayern
Großkayna;;6242;34633;Sachsen-Anhalt
Groß-Klessow;;3222;3542;Brandenburg
Großkmehlen;;1990;35755;Brandenburg
Großkochberg;;7407;36743;Thüringen
Großkönigsförde;;24214;4346;Schlewig-Holstein
Großkönigsförderwohld;;24214;4346;Schlewig-Holstein
Großkorbetha;;6688;34446;Sachsen-Anhalt
Großkorga;;6926;35389;Sachsen-Anhalt
Großkoschen;;1968;3573;Brandenburg
Großkrausnik;;3249;35323;Brandenburg
Großkrotzenburg;;63538;6186;Hessen
Großkugel;;6184;345;Sachsen-Anhalt
Großkundorf;;7980;36623;Thüringen
Großlangenfeld;;54608;6555;Rheinland-Pfalz
Großlangheim;;97320;9325;Bayern
Großlehna;;4420;34205;Sachsen
Großleinungen;;6528;34656;Sachsen-Anhalt
Großliebringen;;99326;3629;Thüringen
Großlittgen;;54534;6575;Rheinland-Pfalz
Großlöbichau;;7751;3641;Thüringen
Großlohra;;99759;36338;Thüringen
Großmaischeid;;56276;2689;Rheinland-Pfalz
Großmannshof;;73345;;Baden-Württemberg
Großmehlra;;99996;36021;Thüringen
Großmehring;;85098;8407;Bayern
Groß-Mehßow;;3205;35435;Brandenburg
Großmölsen;;99198;36203;Thüringen
Großmonra;;99625;3635;Thüringen
Großmühlingen;;39221;39297;Sachsen-Anhalt
Großmutz;;16775;33084;Brandenburg
Großnaundorf;;1936;35955;Sachsen
Großneuhausen;;99625;36372;Thüringen
Großneundorf;;98743;36703;Thüringen
Großniedesheim;;67259;6239;Rheinland-Pfalz
Größnitz;;6632;34464;Sachsen-Anhalt
Großobringen;;99439;3643;Thüringen
Großolbersdorf;;9432;37369;Sachsen
Großörner;;6348;3476;Sachsen-Anhalt
Großostheim;;63762;6026;Bayern
Großpaschleben;;6369;3496;Sachsen-Anhalt
Großpösna;;4463;34297;Sachsen
Großpostwitz;;2692;35938;Sachsen
Großpürschütz;;7751;36424;Thüringen
Großräschen;;1983;35753;Brandenburg
Großrehmühle;;95356;9255;Bayern
Großrheider Ausbau;;24848;;Schlewig-Holstein
Großrheiderfeld;;24848;4624;Schlewig-Holstein
Großrinderfeld;;97950;9344;Baden-Württemberg
Großröda;;4617;3448;Thüringen
Groß-Rohrheim;;68649;6245;Hessen
Großröhrsdorf;, OL;1900;35952;Sachsen
Großromstedt;;99510;36425;Thüringen
Großrosseln;;66352;6809;Saarland
Großrössen;;4895;3535;Brandenburg
Großrückerswalde;;9518;37369;Sachsen
Großrudestedt;;99195;36204;Thüringen
Großschirma;;9603;37328;Sachsen
Großschönau;, Sachs;2779;35841;Sachsen
Großschönau;b Irschenberg;83739;8025;Bayern
Großschwabhausen;;99441;36454;Thüringen
Großschweidnitz;;2708;3585;Sachsen
Großseifen;;56472;2661;Rheinland-Pfalz
Großsolt;;24991;4633;Schlewig-Holstein
Großsteinhausen;;66484;6339;Rheinland-Pfalz
Großthiemig;;4932;35343;Brandenburg
Großtreben-Zwethau;;4886;35386;Sachsen
Groß-Umstadt;;64823;6078;Hessen
Großvargula;;99958;36042;Thüringen
Großwallstadt;;63868;6022;Bayern
Großwechsungen;;99735;36335;Thüringen
Großweil;;82439;8851;Bayern
Großweitzschen;;4720;3431;Sachsen
Großwelsbach;;99947;36043;Thüringen
Großwiesenhof;;92348;9181;Bayern
Großwig;b Torgau;4860;3421;Sachsen
Groß-Wokern;;17166;39978;Mecklenburg-Vorpommern
Großwoltersdorf;;16775;33082;Brandenburg
Großwudicke;;14715;33873;Brandenburg
Großzerlang;;16831;33921;Brandenburg
Großziethen;b Königs Wusterhausen;15831;3379;Brandenburg
Groß-Ziethen;b Eberswalde;16247;33364;Brandenburg
Groß-Ziethen;b Velten;16766;33055;Brandenburg
Groß-Zimmern;;64846;6071;Hessen
Großzöberitz;;6780;34956;Sachsen-Anhalt
Gröst;;6632;34633;Sachsen-Anhalt
Grotenknöll;;24819;;Schlewig-Holstein
Grothusenkoog;;25836;4862;Schlewig-Holstein
Grötsch;;3185;35601;Brandenburg
Grove;;21493;4151;Schlewig-Holstein
Grovehörn;;26802;;Niedersachsen
Groven;, Dithm;25774;4882;Schlewig-Holstein
Grub;b Siegsdorf;83313;;Bayern
Grub;b Neukirchen a Teisenberg;83364;8666;Bayern
Grub;, Gem Amerang;83552;8074;Bayern
Grub;b Irschenberg;83739;8025;Bayern
Grub;a. Forst;96271;9560;Bayern
Grub;b Suhl;98530;36846;Thüringen
Grube;b Perleberg;19336;38791;Brandenburg
Grube;, Holst;23749;4364;Schlewig-Holstein
Grube Alfred;;39240;39291;Sachsen-Anhalt
Grübelsberg;;53547;2683;Rheinland-Pfalz
Gruberhagen;, Gem Grube;23747;4364;Schlewig-Holstein
Grubersmühle;;7343;;Thüringen
Grubnitz;b Wurzen;4828;3425;Sachsen
Grubo;;14823;33849;Brandenburg
Gruel;;18320;38225;Mecklenburg-Vorpommern
Gruibingen;;73344;7335;Baden-Württemberg
Grumbach;b Freital;1723;35204;Sachsen
Grumbach;, Erzgeb;9477;37343;Sachsen
Grumbach;, Glan;67745;6382;Rheinland-Pfalz
Grumbach;b Schmalkalden;98574;3683;Thüringen
Grümpen;;96528;36766;Thüringen
Gruna;b Meißen, Sachs;1683;35242;Sachsen
Grüna;, Sachs;9224;371;Sachsen
Grüna;, Sachs;9224;371;Sachsen
Grüna;b Jüterbog;14913;3372;Brandenburg
Grünau;b Saalfeld, Saale;7338;36734;Thüringen
Grünaue;;14712;;Brandenburg
Grünbach;, Vogtl;8223;3745;Sachsen
Grünbach-Muldenberg;;8223;37465;Sachsen
Grunbachsägmühle;;73489;;Baden-Württemberg
Grünberg;b Pasewalk;17326;39742;Brandenburg
Grünberg;, Hess;35305;6401;Hessen
Grund;b Irschenberg;83739;8064;Bayern
Gründau;;63584;6058;Hessen
Grundbach;;83739;8064;Bayern
Grundhof;b Flensburg;24977;4636;Schlewig-Holstein
Grundhof;b Renningen;71272;;Baden-Württemberg
Grundmühle;, Dill;35630;;Hessen
Grundshagen;;23948;38825;Mecklenburg-Vorpommern
Grundsheim;;89613;7357;Baden-Württemberg
Grüne Mühle;b Brodenbach;56332;2605;Rheinland-Pfalz
Grünebach;;57520;2741;Rheinland-Pfalz
Grüneberg;;16775;33094;Brandenburg
Grünefeld;;14641;33230;Brandenburg
Grüneiche;;14778;33835;Brandenburg
Grünenbach;, Allgäu;88167;8383;Bayern
Grünendeich;, Niederelbe;21720;4141;Niedersachsen
Grünenplan;, Flecken Delligsen;31073;5187;Niedersachsen
Grünental;b Albersdorf, Holst;25767;4835;Schlewig-Holstein
Grunewald;, Uckermark;17268;39883;Brandenburg
Grünewald;, OL;1945;35756;Brandenburg
Grünewalde;b Ruhland;1979;3574;Brandenburg
Grünhain;;8358;3774;Sachsen
Grünhainichen;;9579;37294;Sachsen
Grünheide;(Mark);15537;3362;Brandenburg
Grünhof;b Hagenow;19230;3883;Mecklenburg-Vorpommern
Grünhof;, Hessen;34576;5681;Hessen
Grüningen;b Brandenburg an der Havel;14778;33833;Brandenburg
Grünkraut;;88287;751;Baden-Württemberg
Grunow;, NL;15299;33655;Brandenburg
Grunow;, Märkische Schweiz;15377;33436;Brandenburg
Grünow;b Angermünde;16278;33336;Brandenburg
Grünow;b Neustrelitz;17237;39821;Mecklenburg-Vorpommern
Grünow;b Prenzlau;17291;39857;Brandenburg
Grünsfeld;;97947;9346;Baden-Württemberg
Grünstadt;;67269;6359;Rheinland-Pfalz
Grünwald;, Kr München;82031;89;Bayern
Grünz;;17328;39751;Mecklenburg-Vorpommern
Grüssow;b Malchow, Meckl;17213;39932;Mecklenburg-Vorpommern
Gschwend;b Gaildorf;74417;7972;Baden-Württemberg
Gschwend;b Neukirchen a Teisenberg;83364;8666;Bayern
Gstadt;a. Chiemsee;83257;8054;Bayern
Guben;;3172;3561;Brandenburg
Gubkow;;18190;38209;Mecklenburg-Vorpommern
Gübs;;39175;39292;Sachsen-Anhalt
Güby;;24357;4354;Schlewig-Holstein
Guckheim;;56459;6435;Rheinland-Pfalz
Gückingen;;65558;6432;Rheinland-Pfalz
Gudendorf;, Holst;25693;4859;Schlewig-Holstein
Gudensberg;;34281;5603;Hessen
Guderhandviertel;;21720;4142;Niedersachsen
Gudersleben;;99755;36332;Thüringen
Gudow;b Lübtheen;19249;38855;Mecklenburg-Vorpommern
Gudow;, Kr Hzgt Lauenb;23899;4547;Schlewig-Holstein
Guggenhausen;;88379;7587;Baden-Württemberg
Güglingen;;74363;7135;Baden-Württemberg
Guhlen;;15913;35478;Brandenburg
Gühlen Glienicke;;16818;33929;Brandenburg
Guhlsdorf;;19348;33983;Brandenburg
Guhrow;;3096;35606;Brandenburg
Guldental;;55452;6707;Rheinland-Pfalz
Gülitz;b Perleberg;19348;38782;Brandenburg
Güllesheim;;56593;2687;Rheinland-Pfalz
Gulow;;19348;38782;Brandenburg
Gülpe;;14715;33875;Brandenburg
Gülstorf;;19273;38841;Niedersachsen
Gültz;;17089;3965;Mecklenburg-Vorpommern
Gülze;;19273;38844;Mecklenburg-Vorpommern
Gülzow;b Malchin;17153;39954;Mecklenburg-Vorpommern
Gülzow;b Güstrow;18276;38450;Mecklenburg-Vorpommern
Gülzow;, Kr Hzgt Lauenb;21483;4151;Schlewig-Holstein
Gumbsheim;;55597;6703;Rheinland-Pfalz
Gummersbach;;51643;2261;Nordrhein-Westfalen
Gummersbach;;51645;2261;Nordrhein-Westfalen
Gummersbach;;51647;2261;Nordrhein-Westfalen
Gumpener Kreuz;, Odenwald;64385;;Hessen
Gumpenweiler;b Kreßberg;74594;7957;Bayern
Gumperda;;7768;36422;Thüringen
Gumtow;;16866;33977;Brandenburg
Gundelfingen;, Breisgau;79194;761;Baden-Württemberg
Gundelfingen;a d Donau;89423;9073;Bayern
Gundelsheim;, Württ;74831;6269;Baden-Württemberg
Gundelsheim;, Oberfr;96163;951;Bayern
Gunderath;;56767;2657;Rheinland-Pfalz
Gundersheim;, Rheinhess;67598;6244;Rheinland-Pfalz
Gundersleben;;99713;36020;Thüringen
Gundersweiler;;67724;6361;Rheinland-Pfalz
Gundheim;;67599;6244;Rheinland-Pfalz
Gundremmingen;;89355;8224;Bayern
Gunkelrode;;36179;6627;Hessen
Gunningen;;78594;7424;Baden-Württemberg
Günserode;;6567;34671;Thüringen
Gunsleben;;39393;39401;Sachsen-Anhalt
Günstedt;;99631;36374;Thüringen
Günterberg;;16278;33334;Brandenburg
Güntersberge;;6507;39488;Sachsen-Anhalt
Guntersblum;;67583;6249;Rheinland-Pfalz
Güntersleben;, Kr Würzburg;97261;9365;Bayern
Günthersdorf;b Merseburg;6254;34638;Sachsen-Anhalt
Günthersleben;;99869;36256;Thüringen
Günzach;;87634;8372;Bayern
Günzburg;;89312;8221;Bayern
Gunzenhausen;am Altmühlsee;91710;9831;Bayern
Günzerode;;99735;36335;Thüringen
Güritz Försterei;;19294;38755;Mecklenburg-Vorpommern
Gusborn;;29476;5865;Niedersachsen
Güsen;;39317;39344;Sachsen-Anhalt
Gusenburg;;54413;6503;Rheinland-Pfalz
Gusow;;15306;3346;Brandenburg
Güssefeld;;39624;39009;Sachsen-Anhalt
Gussow;;15754;33768;Brandenburg
Gustävel;;19412;38486;Mecklenburg-Vorpommern
Güstebieser Loose;;16259;33452;Brandenburg
Güsten;, Anh;39439;39262;Sachsen-Anhalt
Güster;;21514;4158;Schlewig-Holstein
Gusterath;;54317;6588;Rheinland-Pfalz
Gustow;;18574;38307;Mecklenburg-Vorpommern
Güstow;, Uckermark;17291;3984;Brandenburg
Güstrow;;18273;3843;Mecklenburg-Vorpommern
Gut Werder;;6217;;Sachsen-Anhalt
Gutach;(Schwarzwaldbahn);77793;7833;Baden-Württemberg
Gutach;im Breisgau;79261;7685;Baden-Württemberg
Gute Mühle;;56346;;Rheinland-Pfalz
Guteborn;, OL;1945;35752;Brandenburg
Gutenacker;;56370;641;Rheinland-Pfalz
Gütenbach;;78148;7723;Baden-Württemberg
Gutenbacherhof;;67822;6358;Rheinland-Pfalz
Gutenberg;b Halle, Saale;6193;34606;Sachsen-Anhalt
Gutenberg;, Kr Bad Kreuznach;55595;6706;Rheinland-Pfalz
Gutendorf;b Bad Berka;99438;36209;Thüringen
Guteneck;, Oberpf;92543;9675;Bayern
Gutengermendorf;;16775;33084;Brandenburg
Gutenpaaren;;14669;33233;Brandenburg
Gutenstetten;;91468;9163;Bayern
Gutenswegen;;39326;39202;Sachsen-Anhalt
Gutenzell-Hürbel;;88484;7352;Baden-Württemberg
Güterfelde;;14532;3329;Brandenburg
Güterglück;;39264;39247;Sachsen-Anhalt
Gütersloh;;33330;5241;Nordrhein-Westfalen
Gütersloh;;33332;5241;Nordrhein-Westfalen
Gütersloh;;33334;5241;Nordrhein-Westfalen
Gütersloh;;33335;5241;Nordrhein-Westfalen
Gutglück;;18356;38231;Mecklenburg-Vorpommern
Guthmannshausen;;99628;36373;Thüringen
Gutow;;18276;38458;Mecklenburg-Vorpommern
Gutsbezirk Münsingen;;72525;7389;Baden-Württemberg
Gutshof Lechfeld;;86836;8232;Bayern
